2024-09-12 16:14:49.645 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-12 16:14:49.649 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-09-12 16:14:49.652 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-12 16:14:49.655 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : Started Application in 0.219 seconds (process running for 51.04)
2024-09-12 16:14:49.656 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2024-09-12 16:14:59.000 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : Starting Application using Java 17.0.9 with PID 3436 (E:\Projects\spring-boot-practice\spring-boot-logging\target\classes started by Huany in E:\Projects\spring-boot-practice)
2024-09-12 16:14:59.002 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-12 16:14:59.028 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-12 16:14:59.028 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-12 16:14:59.617 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-12 16:14:59.620 INFO  [restartedMain] org.apache.catalina.core.AprLifecycleListener : Loaded Apache Tomcat Native library [2.0.6] using APR version [1.7.4].
2024-09-12 16:14:59.623 INFO  [restartedMain] org.apache.catalina.core.AprLifecycleListener : OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2024-09-12 16:14:59.628 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-09-12 16:14:59.630 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-12 16:14:59.630 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-12 16:14:59.668 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-12 16:14:59.668 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 639 ms
2024-09-12 16:14:59.918 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-12 16:14:59.926 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-09-12 16:14:59.938 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-12 16:14:59.945 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : Started Application in 1.332 seconds (process running for 1.786)
2024-09-12 16:17:02.008 INFO  [http-nio-8080-exec-2] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-12 16:17:02.008 INFO  [http-nio-8080-exec-2] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-09-12 16:17:02.009 INFO  [http-nio-8080-exec-2] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 1 ms
2024-09-12 16:17:02.029 DEBUG [http-nio-8080-exec-2] top.hyzhu.springboot.logging.controller.LogController : This is a DEBUG log
2024-09-12 16:17:02.030 INFO  [http-nio-8080-exec-2] top.hyzhu.springboot.logging.controller.LogController : This is an INFO log
2024-09-12 16:17:02.030 WARN  [http-nio-8080-exec-2] top.hyzhu.springboot.logging.controller.LogController : This is a WARN log
2024-09-12 16:17:02.030 ERROR [http-nio-8080-exec-2] top.hyzhu.springboot.logging.controller.LogController : This is an ERROR log
2024-09-12 16:27:10.250 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : Starting Application using Java 17.0.9 with PID 26560 (E:\Projects\spring-boot-practice\spring-boot-logging\target\classes started by Huany in E:\Projects\spring-boot-practice)
2024-09-12 16:27:10.251 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-12 16:27:10.281 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-12 16:27:10.281 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-12 16:27:10.965 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-12 16:27:10.968 INFO  [restartedMain] org.apache.catalina.core.AprLifecycleListener : Loaded Apache Tomcat Native library [2.0.6] using APR version [1.7.4].
2024-09-12 16:27:10.982 INFO  [restartedMain] org.apache.catalina.core.AprLifecycleListener : OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2024-09-12 16:27:10.991 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
